event_id,primary_id,secondary_id,tca,miss_distance_km,relative_velocity_kms,prob_collision,primary_risk_class
170,36112,43297,2026-06-01T05:10:15Z,0.615,7.31,4.17e-01,HIGH
241,87198,25229,2026-06-01T05:14:20Z,1.874,11.09,1.97e-01,HIGH
255,67237,50854,2026-06-01T06:40:53Z,0.513,11.74,5.00e-01,MEDIUM
44,85516,81988,2026-06-01T07:07:57Z,3.674,9.85,1.38e-01,MEDIUM
104,99727,76063,2026-06-01T07:50:19Z,0.66,5.36,4.93e-01,MEDIUM
136,65444,20747,2026-06-01T09:31:41Z,1.01,9.84,3.87e-01,HIGH
4,71151,58379,2026-06-01T09:35:34Z,0.026,9.15,3.56e-01,MEDIUM
155,93942,85082,2026-06-01T09:53:49Z,1.493,9.56,4.64e-01,MEDIUM
173,69826,53123,2026-06-01T09:55:33Z,25.293,1.2,2.44e-06,MEDIUM
225,22104,42582,2026-06-01T10:34:45Z,9.676,7.21,3.00e-03,MEDIUM
163,55728,78317,2026-06-01T11:17:27Z,2.025,8.32,3.39e-01,MEDIUM
139,47527,50493,2026-06-01T11:44:35Z,1.575,1.12,3.57e-01,HIGH
125,42167,89449,2026-06-01T11:57:42Z,4.541,2.51,2.50e-02,MEDIUM
267,57685,33816,2026-06-01T14:27:52Z,3.898,7.28,6.60e-02,MEDIUM
61,60781,71650,2026-06-01T14:59:32Z,8.828,7.74,1.17e-02,MEDIUM
281,34070,23585,2026-06-01T15:47:41Z,13.073,12.59,5.27e-04,MEDIUM
75,77374,90796,2026-06-01T16:20:50Z,0.02,12.36,5.00e-01,MEDIUM
296,32129,97156,2026-06-01T20:42:23Z,0.062,12.06,5.00e-01,MEDIUM
72,90582,34200,2026-06-01T22:23:56Z,2.941,12.54,2.18e-01,HIGH
316,39036,32482,2026-06-02T00:51:28Z,5.809,12.58,4.00e-02,MEDIUM
67,26478,55945,2026-06-02T01:33:20Z,0.61,6.6,2.74e-01,HIGH
11,75209,56343,2026-06-02T03:10:05Z,4.493,2.38,3.54e-02,MEDIUM
126,94498,54435,2026-06-02T04:08:33Z,1.292,2.48,5.00e-01,HIGH
302,73547,63889,2026-06-02T04:36:04Z,0.034,12.8,2.83e-01,MEDIUM
70,34754,97415,2026-06-02T05:23:09Z,2.154,9.83,1.99e-01,HIGH
237,38809,58334,2026-06-02T06:32:58Z,1.214,12.64,4.04e-01,HIGH
9,77406,37402,2026-06-02T06:35:47Z,1.398,7.79,4.66e-01,HIGH
51,87225,53881,2026-06-02T07:05:11Z,1.936,11.11,1.00e-01,HIGH
233,20747,39689,2026-06-02T08:34:53Z,0.194,12.11,5.00e-01,MEDIUM
224,22507,33276,2026-06-02T09:10:27Z,2.291,9.38,2.47e-01,HIGH
284,86815,61285,2026-06-02T10:08:04Z,2.145,14.06,3.00e-01,HIGH
220,34522,78269,2026-06-02T10:30:59Z,5.257,8.45,5.57e-02,MEDIUM
87,96928,36800,2026-06-02T11:52:22Z,6.507,1.49,3.27e-02,MEDIUM
283,65025,94498,2026-06-02T12:55:22Z,2.55,11.51,2.33e-01,MEDIUM
119,64638,76119,2026-06-02T13:31:37Z,1.851,1.93,1.81e-01,HIGH
121,94247,98608,2026-06-02T13:43:07Z,1.762,2.0,1.44e-01,HIGH
274,27821,97020,2026-06-02T15:01:37Z,2.98,6.14,7.24e-02,HIGH
12,53368,79009,2026-06-02T15:05:44Z,31.958,10.58,1.00e-07,LOW
253,55379,78007,2026-06-02T16:56:36Z,12.335,13.28,1.82e-03,MEDIUM
161,46716,25471,2026-06-02T17:13:17Z,0.165,3.73,3.60e-01,HIGH
97,29075,88235,2026-06-02T17:37:21Z,2.419,9.07,7.45e-02,HIGH
180,38809,33938,2026-06-02T20:44:12Z,2.545,4.91,2.30e-01,HIGH
77,50854,84270,2026-06-02T22:06:06Z,0.033,2.48,3.23e-01,HIGH
262,95024,54253,2026-06-02T22:25:08Z,0.165,2.13,5.00e-01,MEDIUM
183,28676,30664,2026-06-02T22:31:56Z,0.467,8.43,5.00e-01,HIGH
231,73978,88456,2026-06-03T00:25:47Z,25.654,12.34,2.50e-06,MEDIUM
198,54089,87626,2026-06-03T01:53:50Z,13.418,12.48,1.10e-03,MEDIUM
13,33515,41808,2026-06-03T03:23:22Z,1.239,14.25,1.60e-01,HIGH
285,66164,45833,2026-06-03T04:32:19Z,4.635,8.47,2.00e-02,LOW
289,66899,28025,2026-06-03T05:26:53Z,0.847,10.16,2.86e-01,HIGH
295,35056,30238,2026-06-03T06:04:26Z,1.01,10.6,3.45e-01,MEDIUM
144,39036,49563,2026-06-03T07:42:41Z,2.841,7.24,2.33e-01,MEDIUM
265,66709,98641,2026-06-03T07:50:38Z,28.49,7.2,3.85e-07,MEDIUM
227,27211,88669,2026-06-03T08:41:00Z,3.342,13.43,4.55e-02,HIGH
138,49374,27118,2026-06-03T09:03:36Z,6.419,12.01,2.81e-02,LOW
275,22507,78983,2026-06-03T09:28:53Z,0.02,1.46,5.00e-01,HIGH
195,84750,47527,2026-06-03T11:29:11Z,2.713,1.39,2.09e-01,HIGH
31,50493,51144,2026-06-03T13:12:08Z,1.708,14.4,1.54e-01,HIGH
124,94597,36583,2026-06-03T13:26:20Z,0.746,12.23,2.05e-01,HIGH
123,44323,78116,2026-06-03T13:44:41Z,10.37,8.99,4.82e-03,LOW
303,89216,21889,2026-06-03T15:27:20Z,3.616,12.1,9.77e-02,HIGH
147,39345,63003,2026-06-03T17:07:14Z,7.949,1.1,1.17e-02,MEDIUM
45,45306,93649,2026-06-03T18:27:37Z,2.165,0.56,2.84e-01,HIGH
217,24712,43152,2026-06-03T18:36:53Z,1.955,7.46,3.35e-01,HIGH
244,65204,63399,2026-06-03T19:02:42Z,38.769,0.99,1.00e-07,MEDIUM
96,95293,71650,2026-06-03T20:03:14Z,7.872,10.51,1.31e-02,LOW
176,85110,62591,2026-06-03T20:20:11Z,4.903,2.15,3.75e-02,MEDIUM
54,79709,28185,2026-06-03T21:10:52Z,0.366,10.43,3.66e-01,MEDIUM
38,93464,32381,2026-06-04T00:50:34Z,0.391,10.22,2.05e-01,HIGH
132,37651,86517,2026-06-04T01:13:49Z,0.452,12.32,5.00e-01,HIGH
42,20098,65110,2026-06-04T02:24:56Z,1.934,3.64,2.69e-01,HIGH
146,28546,88669,2026-06-04T02:58:44Z,11.919,6.79,1.31e-03,LOW
74,53546,34018,2026-06-04T09:08:36Z,6.199,7.89,4.11e-02,MEDIUM
212,90582,98430,2026-06-04T10:10:57Z,2.471,10.99,9.49e-02,HIGH
133,30095,61299,2026-06-04T10:44:06Z,1.788,1.03,1.78e-01,MEDIUM
239,71892,80067,2026-06-04T11:53:59Z,2.168,1.26,1.56e-01,HIGH
182,89430,38028,2026-06-04T14:36:13Z,0.687,10.06,5.00e-01,MEDIUM
171,96336,89874,2026-06-04T14:48:56Z,6.673,0.73,3.39e-02,LOW
272,81532,30095,2026-06-04T16:04:16Z,0.639,7.9,5.00e-01,HIGH
66,20376,63718,2026-06-04T17:11:41Z,7.128,8.54,2.63e-02,MEDIUM
34,95534,72013,2026-06-04T17:47:08Z,0.02,1.5,4.57e-01,HIGH
311,22752,54253,2026-06-04T18:40:18Z,4.048,9.08,8.59e-02,HIGH
22,80351,95585,2026-06-04T19:41:51Z,3.539,1.18,1.28e-01,HIGH
305,35333,26860,2026-06-04T20:52:18Z,12.862,11.62,9.42e-04,LOW
32,96798,97535,2026-06-04T20:54:45Z,14.522,10.61,5.78e-04,LOW
6,79009,92346,2026-06-04T21:20:15Z,4.821,9.34,2.25e-02,HIGH
243,33515,22852,2026-06-04T21:57:27Z,0.383,11.19,5.00e-01,HIGH
268,79670,29022,2026-06-04T21:59:27Z,0.677,5.26,2.52e-01,HIGH
189,55489,39163,2026-06-04T22:04:18Z,2.619,5.65,2.44e-01,LOW
304,74807,96933,2026-06-04T22:08:24Z,0.061,11.41,5.00e-01,HIGH
73,36265,83814,2026-06-04T22:27:23Z,0.583,11.87,4.00e-01,LOW
165,23057,47906,2026-06-05T00:23:33Z,18.107,2.8,8.97e-05,LOW
23,60221,88029,2026-06-05T00:41:56Z,0.506,9.64,5.00e-01,MEDIUM
64,88648,57423,2026-06-05T01:16:55Z,2.165,11.4,1.25e-01,HIGH
116,50503,90400,2026-06-05T03:09:06Z,8.098,2.54,7.41e-03,MEDIUM
24,74816,33515,2026-06-05T03:46:03Z,0.342,9.92,2.20e-01,HIGH
196,55757,54851,2026-06-05T07:24:45Z,13.399,6.33,6.18e-04,MEDIUM
169,99567,54492,2026-06-05T07:57:27Z,0.808,10.97,1.91e-01,MEDIUM
154,70144,37844,2026-06-05T08:36:40Z,0.472,3.73,1.64e-01,MEDIUM
28,38505,48590,2026-06-05T12:25:40Z,0.38,12.08,5.00e-01,HIGH
152,65204,48526,2026-06-05T12:30:34Z,14.79,2.64,5.86e-04,MEDIUM
5,55728,83030,2026-06-05T14:54:37Z,1.371,8.3,3.17e-01,MEDIUM
184,47043,80351,2026-06-05T16:31:19Z,16.707,7.16,1.98e-04,LOW
18,26087,22083,2026-06-05T17:46:08Z,3.923,14.45,1.17e-01,HIGH
287,55728,94229,2026-06-05T17:57:38Z,5.007,9.44,8.14e-02,MEDIUM
94,49350,95257,2026-06-05T18:03:07Z,0.515,6.99,4.68e-01,HIGH
164,96933,88669,2026-06-05T18:07:54Z,9.937,14.07,4.64e-03,MEDIUM
290,89704,30145,2026-06-05T19:39:56Z,5.076,0.87,4.04e-02,MEDIUM
157,34891,54851,2026-06-05T19:45:56Z,0.657,1.43,4.53e-01,HIGH
207,53598,43452,2026-06-05T20:34:55Z,1.256,1.91,2.61e-01,HIGH
92,97020,27952,2026-06-05T22:37:16Z,5.944,0.8,1.47e-02,MEDIUM
246,72506,51180,2026-06-06T00:39:28Z,16.3,8.39,1.90e-04,LOW
222,29075,51073,2026-06-06T01:34:11Z,2.383,1.46,7.80e-02,HIGH
263,73965,92555,2026-06-06T01:45:31Z,40.34,12.12,1.00e-07,LOW
280,59510,71893,2026-06-06T02:05:57Z,1.525,13.27,2.65e-01,LOW
254,38208,23585,2026-06-06T03:36:07Z,0.669,9.92,5.00e-01,HIGH
236,63034,93614,2026-06-06T03:51:53Z,1.311,5.09,3.09e-01,MEDIUM
318,47527,27690,2026-06-06T03:55:35Z,0.241,11.82,5.00e-01,HIGH
256,51511,26956,2026-06-06T04:05:39Z,0.023,4.72,3.67e-01,MEDIUM
297,57637,37402,2026-06-06T04:17:32Z,11.3,13.7,7.82e-04,MEDIUM
278,58072,96187,2026-06-06T04:17:46Z,0.76,4.69,5.00e-01,MEDIUM
258,38505,55379,2026-06-06T05:10:34Z,2.467,2.45,2.85e-01,HIGH
99,36387,33276,2026-06-06T05:29:10Z,0.91,12.47,5.00e-01,HIGH
113,50493,52524,2026-06-06T06:21:25Z,0.456,6.97,2.17e-01,HIGH
50,66899,69141,2026-06-06T07:37:25Z,0.261,13.17,4.41e-01,HIGH
88,79309,20344,2026-06-06T08:42:43Z,1.851,6.67,1.08e-01,HIGH
312,86447,20434,2026-06-06T12:34:02Z,1.446,3.95,1.62e-01,HIGH
112,79709,38028,2026-06-06T13:26:43Z,1.993,10.61,9.29e-02,MEDIUM
234,55559,89730,2026-06-06T14:25:01Z,4.048,2.24,1.27e-01,MEDIUM
83,30445,96782,2026-06-06T14:42:56Z,7.429,6.31,2.08e-02,MEDIUM
84,26478,25334,2026-06-06T16:48:33Z,0.712,9.43,2.03e-01,HIGH
230,88648,42865,2026-06-06T17:00:11Z,1.7,12.56,1.91e-01,HIGH
80,52524,29130,2026-06-06T17:13:58Z,30.482,1.07,1.98e-07,MEDIUM
143,34556,44907,2026-06-06T17:24:07Z,0.591,9.23,5.00e-01,HIGH
206,27821,69973,2026-06-06T17:49:27Z,0.427,1.07,5.00e-01,HIGH
46,95585,38809,2026-06-06T18:26:03Z,4.336,10.14,9.55e-02,MEDIUM
229,70277,75941,2026-06-06T19:09:11Z,27.289,6.09,1.16e-06,LOW
192,79309,82044,2026-06-06T20:27:02Z,0.706,10.09,3.57e-01,HIGH
210,53682,80126,2026-06-06T20:34:24Z,6.427,12.14,1.03e-02,LOW
69,49432,75394,2026-06-06T20:51:57Z,6.276,1.21,1.79e-02,HIGH
205,54253,69092,2026-06-06T21:41:31Z,1.068,8.44,2.16e-01,HIGH
277,77145,28828,2026-06-07T00:10:37Z,0.535,10.63,5.00e-01,MEDIUM
79,28676,76951,2026-06-07T01:19:15Z,2.9,14.44,2.10e-01,HIGH
194,28025,62299,2026-06-07T01:23:46Z,16.327,5.73,2.54e-04,MEDIUM
273,56734,64490,2026-06-07T02:08:02Z,8.543,10.38,5.96e-03,MEDIUM
111,98230,70655,2026-06-07T02:34:37Z,1.335,4.27,1.25e-01,LOW
257,77335,57418,2026-06-07T02:42:20Z,1.043,10.92,2.42e-01,MEDIUM
15,43452,71777,2026-06-07T04:05:39Z,0.272,1.87,4.85e-01,HIGH
181,87198,88697,2026-06-07T04:15:02Z,1.935,13.56,1.49e-01,HIGH
293,90355,24937,2026-06-07T04:39:23Z,1.551,6.13,2.56e-01,HIGH
95,68972,53469,2026-06-07T05:33:44Z,0.209,6.09,2.92e-01,HIGH
8,29022,82912,2026-06-07T06:23:25Z,2.455,14.44,1.72e-01,MEDIUM
135,82009,56421,2026-06-07T06:36:39Z,7.423,14.16,2.02e-02,MEDIUM
242,34754,83493,2026-06-07T07:20:09Z,2.931,7.51,1.95e-01,HIGH
249,73978,20098,2026-06-07T10:29:50Z,7.048,13.98,1.96e-02,MEDIUM
282,46623,21380,2026-06-07T10:42:07Z,1.703,9.16,2.49e-01,HIGH
211,87913,99443,2026-06-07T12:05:18Z,4.848,4.09,4.33e-02,MEDIUM
279,49128,34647,2026-06-07T14:39:16Z,60.932,2.47,1.00e-07,LOW
131,76471,69826,2026-06-07T15:11:18Z,5.557,1.58,3.53e-02,MEDIUM
208,56343,24937,2026-06-07T16:06:41Z,2.607,5.63,2.31e-01,HIGH
130,30664,27118,2026-06-07T16:09:24Z,4.689,11.99,3.61e-02,MEDIUM
188,33871,79651,2026-06-07T16:34:52Z,4.736,13.21,4.10e-02,MEDIUM
310,29339,91026,2026-06-07T16:56:11Z,5.463,9.54,3.97e-02,HIGH
202,55858,94117,2026-06-07T17:14:17Z,0.11,11.09,3.44e-01,HIGH
128,55379,77908,2026-06-07T17:43:27Z,21.317,4.6,1.71e-05,MEDIUM
52,54435,25229,2026-06-07T18:23:27Z,0.248,2.81,2.24e-01,HIGH
90,28696,64841,2026-06-07T19:05:10Z,50.483,5.58,1.00e-07,LOW
3,37178,30627,2026-06-07T20:48:41Z,10.878,9.2,1.05e-03,LOW
209,29075,65722,2026-06-07T21:00:20Z,3.969,10.06,7.96e-02,HIGH
313,44123,76237,2026-06-07T21:23:28Z,24.032,9.11,4.30e-06,LOW
63,29075,43667,2026-06-07T21:48:38Z,0.113,6.63,5.00e-01,HIGH
221,50120,39406,2026-06-07T21:56:48Z,3.254,11.95,1.05e-01,MEDIUM
