object_id,risk_class
34891,MEDIUM
38161,LOW
52078,MEDIUM
37031,LOW
33939,LOW
98314,MEDIUM
37328,LOW
91885,LOW
81894,HIGH
63034,MEDIUM
70797,LOW
47224,LOW
70597,MEDIUM
58098,MEDIUM
58072,MEDIUM
62215,LOW
36939,LOW
31219,LOW
98230,LOW
54805,LOW
97542,LOW
53117,LOW
49321,HIGH
37564,LOW
37143,MEDIUM
23089,HIGH
46716,HIGH
63003,HIGH
66395,LOW
69767,LOW
23499,MEDIUM
73332,LOW
58244,MEDIUM
83466,MEDIUM
55646,MEDIUM
77145,MEDIUM
76474,LOW
31347,MEDIUM
80268,LOW
93942,MEDIUM
62520,MEDIUM
92531,LOW
76951,LOW
61482,HIGH
56343,HIGH
37052,HIGH
36474,LOW
80958,LOW
66356,LOW
91989,HIGH
34827,LOW
68207,LOW
24937,LOW
99463,MEDIUM
48590,LOW
52257,HIGH
34018,LOW
91068,HIGH
20084,MEDIUM
72189,MEDIUM
32907,LOW
45570,MEDIUM
58807,HIGH
91026,HIGH
69177,LOW
94046,LOW
56613,LOW
71302,MEDIUM
83493,MEDIUM
61331,LOW
28214,LOW
95585,MEDIUM
88029,LOW
69743,MEDIUM
35056,MEDIUM
94117,LOW
47527,HIGH
49705,LOW
65765,LOW
50935,LOW
35098,LOW
51501,LOW
50503,MEDIUM
55489,LOW
50732,MEDIUM
90582,HIGH
65204,MEDIUM
27952,LOW
23585,LOW
65614,LOW
52174,MEDIUM
83727,LOW
47096,LOW
34965,LOW
72078,LOW
39664,LOW
80126,LOW
56822,MEDIUM
28243,LOW
59386,LOW
95534,HIGH
99439,LOW
39000,LOW
39208,LOW
81222,LOW
69935,LOW
35713,LOW
87626,HIGH
72859,LOW
82886,MEDIUM
69973,LOW
93631,MEDIUM
31368,HIGH
23908,MEDIUM
76119,LOW
96044,LOW
33686,HIGH
37013,HIGH
55945,LOW
60298,LOW
24745,LOW
72540,LOW
83323,HIGH
59636,MEDIUM
47103,MEDIUM
73802,LOW
96372,LOW
26160,LOW
52392,LOW
30479,LOW
25040,MEDIUM
94498,HIGH
95024,MEDIUM
49811,MEDIUM
57423,LOW
89322,MEDIUM
31091,LOW
72013,LOW
26414,LOW
93286,LOW
91450,LOW
36376,LOW
83030,LOW
78977,MEDIUM
28295,HIGH
67237,MEDIUM
58027,LOW
73978,MEDIUM
42536,LOW
38458,MEDIUM
92972,LOW
53434,LOW
79003,LOW
86637,LOW
55485,MEDIUM
46160,MEDIUM
25149,MEDIUM
23090,LOW
87608,LOW
73603,LOW
23210,HIGH
56796,LOW
53740,LOW
54834,LOW
22104,MEDIUM
71284,LOW
55858,HIGH
39036,MEDIUM
57588,MEDIUM
70837,LOW
76183,MEDIUM
28930,LOW
63718,HIGH
97651,LOW
85403,LOW
33610,LOW
81103,LOW
44699,LOW
68972,HIGH
94291,MEDIUM
37844,LOW
49563,LOW
94247,HIGH
86528,LOW
80067,LOW
49724,LOW
99010,LOW
23474,LOW
96680,MEDIUM
21151,LOW
98807,LOW
59981,LOW
20376,MEDIUM
96187,LOW
79574,MEDIUM
37980,MEDIUM
45923,MEDIUM
62178,MEDIUM
57637,MEDIUM
99528,MEDIUM
83814,MEDIUM
84747,MEDIUM
85724,MEDIUM
34044,LOW
38799,MEDIUM
90548,MEDIUM
41478,LOW
50237,LOW
30850,HIGH
29102,LOW
21261,LOW
47043,LOW
56717,LOW
54253,HIGH
49374,LOW
79915,LOW
35502,HIGH
65053,MEDIUM
44715,LOW
84270,LOW
52263,LOW
29661,HIGH
49056,LOW
99581,LOW
42743,LOW
29022,MEDIUM
53464,LOW
43924,LOW
88117,LOW
71589,LOW
54781,LOW
99843,LOW
47053,LOW
98799,LOW
24170,LOW
29040,LOW
92252,MEDIUM
85516,MEDIUM
22852,LOW
39224,MEDIUM
77340,LOW
85542,MEDIUM
43842,HIGH
24712,HIGH
53727,LOW
93844,MEDIUM
83579,LOW
84866,LOW
26798,LOW
24376,HIGH
94229,LOW
98708,MEDIUM
76437,MEDIUM
28829,LOW
79819,MEDIUM
61299,LOW
77335,MEDIUM
98718,LOW
41733,MEDIUM
69141,MEDIUM
30736,LOW
33864,LOW
39165,LOW
31982,LOW
79406,LOW
60678,LOW
78269,LOW
61483,LOW
54566,MEDIUM
93082,MEDIUM
78317,MEDIUM
30831,MEDIUM
66262,LOW
25471,LOW
42817,HIGH
36800,MEDIUM
44238,HIGH
79577,LOW
56645,LOW
26843,MEDIUM
82416,LOW
33496,LOW
85464,HIGH
70394,MEDIUM
31758,LOW
24628,LOW
27850,LOW
28506,LOW
77638,MEDIUM
97640,LOW
53157,MEDIUM
28676,HIGH
36265,LOW
56037,LOW
54360,MEDIUM
94073,LOW
26956,LOW
72227,LOW
26478,HIGH
73079,LOW
54492,MEDIUM
24172,HIGH
65364,LOW
33223,MEDIUM
66008,LOW
35333,LOW
96336,LOW
64638,HIGH
61041,LOW
57198,MEDIUM
67170,LOW
42468,LOW
59410,MEDIUM
76471,MEDIUM
38505,MEDIUM
32533,LOW
34556,HIGH
32381,LOW
65020,LOW
79966,MEDIUM
93424,HIGH
88697,LOW
52935,LOW
45138,MEDIUM
61381,LOW
92458,LOW
67591,LOW
82196,LOW
64639,MEDIUM
74081,LOW
82399,LOW
46241,HIGH
22083,MEDIUM
79151,LOW
79729,LOW
94384,MEDIUM
91890,LOW
57109,LOW
64884,MEDIUM
24624,MEDIUM
43297,LOW
74432,LOW
89216,HIGH
69234,MEDIUM
54621,MEDIUM
45044,LOW
78027,LOW
74152,LOW
95158,MEDIUM
85054,LOW
40759,LOW
96230,MEDIUM
73548,MEDIUM
41150,LOW
75228,MEDIUM
36627,LOW
45428,LOW
39163,HIGH
68812,LOW
35761,LOW
57102,MEDIUM
58334,MEDIUM
42087,MEDIUM
69435,MEDIUM
39925,LOW
45539,MEDIUM
56724,LOW
94647,LOW
65656,LOW
96251,MEDIUM
80351,HIGH
54666,MEDIUM
55533,LOW
82812,LOW
49470,MEDIUM
41145,LOW
85571,MEDIUM
67668,LOW
81274,HIGH
48642,LOW
20040,LOW
21903,LOW
85725,LOW
47412,HIGH
28191,LOW
60831,LOW
32976,MEDIUM
57892,MEDIUM
89449,HIGH
74816,HIGH
55379,MEDIUM
37402,LOW
42267,LOW
54851,MEDIUM
73588,LOW
66371,LOW
55728,MEDIUM
47576,MEDIUM
32803,MEDIUM
59699,LOW
37033,LOW
26903,LOW
85480,LOW
69074,HIGH
55019,LOW
21876,LOW
42582,LOW
29130,LOW
86003,MEDIUM
75941,LOW
57260,MEDIUM
22507,HIGH
30892,LOW
30597,MEDIUM
89849,MEDIUM
73057,MEDIUM
51598,MEDIUM
34754,MEDIUM
96798,LOW
49084,LOW
36068,MEDIUM
29336,HIGH
37463,LOW
65110,LOW
67734,LOW
52278,MEDIUM
65253,LOW
42959,MEDIUM
26087,MEDIUM
57300,LOW
39444,LOW
66460,LOW
33946,MEDIUM
35738,HIGH
56674,MEDIUM
93284,LOW
54476,LOW
36949,HIGH
73094,MEDIUM
84343,LOW
83180,LOW
73796,MEDIUM
81532,HIGH
50120,MEDIUM
93904,LOW
94228,LOW
88235,LOW
33970,LOW
49166,MEDIUM
70187,MEDIUM
65126,HIGH
30445,MEDIUM
66709,MEDIUM
51282,HIGH
28828,LOW
96982,LOW
49351,MEDIUM
91752,MEDIUM
69826,MEDIUM
83982,HIGH
66042,MEDIUM
35075,LOW
95834,LOW
51579,MEDIUM
58414,LOW
68346,LOW
56304,HIGH
71322,LOW
61586,MEDIUM
88965,LOW
55207,HIGH
40222,LOW
39478,LOW
54120,HIGH
77344,LOW
62443,LOW
32491,LOW
49432,HIGH
30095,MEDIUM
22136,MEDIUM
64087,LOW
84376,MEDIUM
86801,LOW
41419,MEDIUM
97817,MEDIUM
56423,MEDIUM
99567,MEDIUM
82927,MEDIUM
85110,MEDIUM
89430,HIGH
33167,LOW
26605,LOW
71681,LOW
62578,LOW
85083,LOW
25229,MEDIUM
94870,HIGH
99396,LOW
56734,MEDIUM
89237,LOW
27211,HIGH
94597,HIGH
43667,LOW
24807,LOW
49921,LOW
44323,LOW
66339,LOW
98608,MEDIUM
83289,LOW
99417,MEDIUM
79413,HIGH
92603,LOW
35831,LOW
63578,LOW
48299,LOW
68987,LOW
98430,LOW
30664,MEDIUM
30466,LOW
23434,HIGH
55877,LOW
48566,MEDIUM
87221,HIGH
25720,HIGH
42490,HIGH
63889,MEDIUM
42167,MEDIUM
37907,LOW
61730,LOW
44440,LOW
73340,MEDIUM
25245,MEDIUM
60314,LOW
96928,MEDIUM
88913,LOW
75209,MEDIUM
79748,LOW
20251,LOW
48877,LOW
20366,LOW
97126,HIGH
27592,LOW
69443,LOW
47396,LOW
41213,LOW
97543,LOW
83875,LOW
99727,MEDIUM
47696,LOW
52415,LOW
82985,MEDIUM
25323,LOW
54204,LOW
81590,LOW
48279,LOW
43088,LOW
22461,HIGH
82009,MEDIUM
63955,LOW
56421,MEDIUM
76237,LOW
84733,LOW
71777,LOW
60478,LOW
49603,MEDIUM
60116,LOW
50854,HIGH
86446,LOW
77908,LOW
94983,LOW
50839,MEDIUM
52963,LOW
76927,LOW
22508,LOW
50419,MEDIUM
34392,LOW
48428,LOW
53881,LOW
86565,MEDIUM
42860,LOW
94997,MEDIUM
88648,HIGH
97296,LOW
29075,HIGH
51073,MEDIUM
81988,LOW
34647,LOW
89709,LOW
95794,MEDIUM
94054,LOW
51511,MEDIUM
59390,LOW
77475,MEDIUM
42962,HIGH
55063,LOW
37651,MEDIUM
90400,LOW
94477,LOW
20098,HIGH
29310,MEDIUM
59104,MEDIUM
36112,HIGH
37024,LOW
70655,LOW
36694,LOW
24708,MEDIUM
32129,MEDIUM
81130,LOW
30145,LOW
71543,LOW
64805,LOW
83287,MEDIUM
86147,LOW
79709,MEDIUM
20434,MEDIUM
52836,MEDIUM
48787,LOW
41411,LOW
32744,LOW
70292,LOW
86815,HIGH
51175,LOW
77490,LOW
66164,LOW
30627,MEDIUM
50046,HIGH
87507,MEDIUM
35894,MEDIUM
90465,LOW
32831,LOW
48785,MEDIUM
93614,LOW
60781,LOW
77374,MEDIUM
71893,LOW
93990,MEDIUM
62482,LOW
82295,LOW
36387,HIGH
72506,LOW
83390,HIGH
83980,LOW
50372,MEDIUM
69813,LOW
33276,LOW
45446,HIGH
40585,LOW
27140,MEDIUM
45080,MEDIUM
37186,MEDIUM
63125,MEDIUM
71534,MEDIUM
27504,LOW
51180,LOW
36441,LOW
25503,MEDIUM
96844,LOW
79111,LOW
25018,LOW
44040,LOW
56954,LOW
59742,HIGH
95257,LOW
57531,LOW
94613,LOW
30148,HIGH
47338,LOW
25496,MEDIUM
68710,LOW
43452,HIGH
30223,LOW
43875,MEDIUM
57572,MEDIUM
31190,HIGH
57418,MEDIUM
89276,LOW
28367,MEDIUM
53546,MEDIUM
51032,MEDIUM
79256,MEDIUM
98915,LOW
92555,LOW
35631,MEDIUM
29401,LOW
49122,LOW
26860,LOW
89206,LOW
85700,LOW
35925,LOW
55760,LOW
40970,MEDIUM
69085,MEDIUM
23637,HIGH
76275,MEDIUM
29466,MEDIUM
59854,LOW
33179,LOW
44907,MEDIUM
85047,MEDIUM
37912,LOW
60221,MEDIUM
76399,LOW
94226,LOW
63595,LOW
53682,LOW
62299,LOW
81405,MEDIUM
50781,MEDIUM
34200,LOW
37857,LOW
43982,LOW
74175,LOW
79918,LOW
27118,LOW
23057,LOW
81156,LOW
28025,MEDIUM
51510,MEDIUM
50520,HIGH
59510,LOW
91766,LOW
37534,LOW
88612,MEDIUM
84750,HIGH
79670,HIGH
87518,MEDIUM
51654,MEDIUM
59275,MEDIUM
23912,LOW
33871,LOW
64406,LOW
38208,HIGH
95293,LOW
55757,MEDIUM
99389,MEDIUM
33563,HIGH
78116,LOW
53469,LOW
30455,LOW
38809,HIGH
92624,MEDIUM
76208,LOW
67749,LOW
97971,LOW
48674,MEDIUM
86517,MEDIUM
84216,HIGH
45833,LOW
33922,LOW
78714,LOW
34070,MEDIUM
50019,LOW
69092,LOW
35387,MEDIUM
97415,LOW
30157,LOW
37178,LOW
21380,LOW
65704,MEDIUM
68914,HIGH
39237,LOW
89874,LOW
87913,MEDIUM
61493,LOW
34971,LOW
29134,LOW
97764,LOW
85024,HIGH
61969,HIGH
46623,HIGH
53368,LOW
63044,MEDIUM
47708,LOW
41769,LOW
50863,LOW
45370,MEDIUM
29339,HIGH
50493,HIGH
45663,HIGH
20510,MEDIUM
47347,HIGH
62095,LOW
36042,LOW
60832,LOW
41808,LOW
96622,LOW
87704,LOW
92797,LOW
51034,LOW
24755,MEDIUM
24049,HIGH
76068,LOW
35377,LOW
83305,MEDIUM
39809,MEDIUM
97020,MEDIUM
62225,LOW
86350,MEDIUM
38580,LOW
53123,LOW
64490,LOW
45306,HIGH
96478,HIGH
33816,MEDIUM
63399,LOW
35312,LOW
71876,MEDIUM
25591,HIGH
35591,MEDIUM
52538,LOW
70159,MEDIUM
59048,LOW
29845,LOW
86216,LOW
45104,LOW
64841,LOW
72802,LOW
62062,LOW
89033,HIGH
96561,LOW
23184,MEDIUM
57685,MEDIUM
27821,HIGH
63107,MEDIUM
66899,MEDIUM
71650,MEDIUM
86472,LOW
49439,LOW
60255,HIGH
37208,MEDIUM
38915,LOW
33515,HIGH
64621,HIGH
28696,LOW
89259,LOW
68617,MEDIUM
74807,HIGH
35529,LOW
54435,HIGH
61672,LOW
90796,MEDIUM
20427,LOW
22752,HIGH
57451,MEDIUM
90355,HIGH
80787,HIGH
57367,MEDIUM
33938,HIGH
86690,LOW
32294,HIGH
98190,MEDIUM
82003,LOW
97416,LOW
71892,HIGH
49128,LOW
98330,HIGH
81497,LOW
75906,MEDIUM
97535,LOW
25334,LOW
70277,LOW
46664,LOW
47876,LOW
22082,LOW
62595,LOW
63226,MEDIUM
73547,MEDIUM
98953,LOW
77585,MEDIUM
92346,LOW
51789,HIGH
76091,MEDIUM
69776,HIGH
80908,MEDIUM
59536,LOW
90252,MEDIUM
20747,MEDIUM
24060,MEDIUM
44178,MEDIUM
35475,MEDIUM
38834,LOW
82044,MEDIUM
79649,LOW
51132,HIGH
32482,HIGH
24833,MEDIUM
43230,MEDIUM
39104,LOW
31811,HIGH
80651,HIGH
75285,MEDIUM
45399,LOW
41362,LOW
61285,MEDIUM
92464,LOW
32224,MEDIUM
21889,HIGH
33898,HIGH
67339,LOW
42072,MEDIUM
78983,LOW
54089,MEDIUM
86750,LOW
68907,MEDIUM
79469,MEDIUM
27906,LOW
26159,LOW
31606,LOW
75394,LOW
35405,MEDIUM
93596,MEDIUM
60393,LOW
